"","Accipiter nisus","Actitis hypoleucos","Aegithalos caudatus","Alauda arvensis","Alcedo atthis","Anas crecca","Anas platyrhynchos","Anser anser","Anthus trivialis","Apus apus","Ardea cinerea","Branta canadensis","Buteo buteo","Carduelis carduelis","Certhia brachydactyla","Certhia familiaris","Charadrius dubius","Chloris chloris","Ciconia ciconia","Coccothraustes coccothraustes","Columba livia","Columba oenas","Columba palumbus","Corvus corax","Corvus cornix","Corvus corone","Corvus frugilegus","Corvus monedula","Curruca curruca","Cyanistes caeruleus","Delichon urbicum","Dendrocopos major","Dendrocoptes medius","Dryobates minor","Dryocopus martius","Emberiza citrinella","Erithacus rubecula","Falco tinnunculus","Ficedula hypoleuca","Fringilla coelebs","Fulica atra","Gallinula chloropus","Garrulus glandarius","Hirundo rustica","Larus michahellis","Lophophanes cristatus","Motacilla alba","Motacilla cinerea","Motacilla flava","Muscicapa striata","Nycticorax nycticorax","Oriolus oriolus","Parus major","Passer domesticus","Passer montanus","Periparus ater","Phasianus colchicus","Phoenicurus ochruros","Phoenicurus phoenicurus","Phylloscopus collybita","Pica pica","Picus viridis","Poecile palustris","Prunella modularis","Pyrrhula pyrrhula","Rallus aquaticus","Regulus ignicapilla","Regulus regulus","Serinus serinus","Sitta europaea","Spinus spinus","Streptopelia decaocto","Strix aluco","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Tachybaptus ruficollis","Tringa nebularia","Tringa ochropus","Troglodytes troglodytes","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus","Upupa epops","Vanellus vanellus"
"GR_1",0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"GR_11",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"GR_12",0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
"GR_13",0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
"GR_14",0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"GR_16",0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0
"GR_17",0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"GR_18",1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
"GR_19",0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1
"GR_2",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
