date,site_id,elevation_m,moisture_pct,replicate,sensor_id
2024-06-01,S1,500,32.1,1,SN-004
2024-06-01,S1,500,31.8,2,SN-004
2024-06-01,S1,500,32.4,3,SN-004
2024-06-01,S2,1000,28.5,1,SN-007
2024-06-01,S2,1000,28.9,2,SN-007
2024-06-01,S2,1000,27.6,3,SN-007
2024-06-01,S3,1500,24.3,1,SN-011
2024-06-01,S3,1500,24.7,2,SN-011
2024-06-01,S3,1500,23.9,3,SN-011
2024-06-01,S4,2000,19.8,1,SN-015
2024-06-01,S4,2000,20.1,2,SN-015
2024-06-01,S4,2000,19.5,3,SN-015
2024-06-01,S5,2500,15.2,1,SN-019
2024-06-01,S5,2500,14.9,2,SN-019
2024-06-01,S5,2500,15.6,3,SN-019
2024-06-04,S1,500,30.4,1,SN-004
2024-06-04,S1,500,30.8,2,SN-004
2024-06-04,S1,500,31.0,3,SN-004
2024-06-04,S2,1000,27.2,1,SN-007
2024-06-04,S2,1000,27.8,2,SN-007
