Date ,site,elev,val,rep,sensor
01/06/24 ,A,500,32.1,1,SN-004
01/06/24 ,A,500,31.8,2,SN-004
01/06/24 ,A,500,32.4,3,SN-004
01/06/24 ,B,1000,28.5,1,SN-007
01/06/24 ,B,1000,28.9,2,SN-007
01/06/24 ,B,1000,27.6,3,SN-007
01/06/24 ,C,1500,24.3,1,SN-011
01/06/24 ,C,1500,24.7,2,SN-011
01/06/24 ,C,1500,23.9,3,SN-011
01/06/24 ,D,2000,19.8,1,SN-015
01/06/24 ,D,2000,20.1,2,SN-015
01/06/24 ,D,2000,19.5,3,SN-015
01/06/24 ,E,2500,15.2,1,SN-019
01/06/24 ,E,2500,14.9,2,SN-019
01/06/24 ,E,2500,15.6,3,SN-019
04/06/24 ,A,500,30.4,1,SN-004
04/06/24 ,A,500,30.8,2,SN-004
04/06/24 ,A,500,31.0,3,SN-004
04/06/24 ,B,1000,27.2,1,SN-007
04/06/24 ,B,1000,27.8,2,SN-007
04/06/24 ,C,1500,,1,SN-011
04/06/24 ,C,1500,,2,SN-011
04/06/24 ,C,1500,999,3,SN-011
04/06/24 ,D,2000,19.1,1,SN-015
04/06/24 ,D,2000,19.4,2,SN-015
04/06/24 ,D,2000,19.0,3,SN-015
04/06/24 ,E,2500,14.5,1,SN-019
04/06/24 ,E,2500,14.7,2,SN-019
04/06/24 ,E,2500,14.9,3,SN-019
