date,loc,elev,m1,m2,m3
01/06/24,A,500,32.1,31.8,32.4
01/06/24,B,1000,28.5,28.9,27.6
01/06/24,C,1500,24.3,24.7,23.9
01/06/24,D,2000,19.8,20.1,19.5
01/06/24,E,2500,15.2,14.9,15.6
04/06/24,A,500,30.4,30.8,31.0
04/06/24,B,1000,27.2,27.8,,
04/06/24,C,1500,,,999
04/06/24,D,2000,19.1,19.4,19.0
04/06/24,E,2500,14.5,14.7,14.9
07/06/24,A,500,31.1,31.5,31.2
07/06/24,B,1000,26.9,27.1,27.4
07/06/24,C,1500,23.1,22.8,23.5
07/06/24,D,2000,18.7,18.9,18.5
07/06/24,E,2500,13.9,14.2,14.0
10/06/24,A,500,29.8,30.1,29.5
10/06/24,B,1000,26.4,26.8,26.2
10/06/24,C,1500,22.5,22.9,22.1
10/06/24,D,2000,18.1,18.4,17.9
10/06/24,E,2500,13.4,13.7,13.2
